iter	Passed	Remaining
0	2	215
1	4	198
2	10	328
3	12	295
4	14	277
5	16	265
6	20	278
7	23	267
8	25	254
9	26	241
10	28	231
11	30	222
12	37	251
13	40	248
14	42	242
15	44	234
16	46	228
17	53	241
18	55	235
19	57	229
20	59	222
21	60	214
22	61	207
23	67	212
24	69	208
25	70	201
26	72	195
27	73	188
28	74	183
29	76	178
30	83	186
31	85	182
32	87	177
33	88	172
34	90	167
35	91	162
36	97	166
37	99	161
38	100	157
39	101	152
40	102	148
41	103	142
42	104	139
43	106	135
44	110	135
45	112	131
46	113	127
47	114	124
48	115	120
49	116	116
50	118	113
51	119	110
52	125	110
53	128	109
54	130	106
55	131	103
56	132	100
57	133	96
58	135	93
59	139	93
60	141	90
61	142	87
62	144	84
63	145	81
64	146	78
65	147	76
66	148	73
67	149	70
68	154	69
69	155	66
70	157	64
71	158	61
72	159	59
73	160	56
74	162	54
75	163	51
76	164	49
77	169	47
78	171	45
79	173	43
80	174	40
81	175	38
82	176	36
83	177	33
84	178	31
85	183	29
86	185	27
87	186	25
88	187	23
89	188	20
90	189	18
91	191	16
92	192	14
93	193	12
94	199	10
95	201	8
96	202	6
97	203	4
98	204	2
99	205	0
